dom1,dom2,ipfam,threedid
PF03528,PF03528,1,1
PF01281,PF06071,0,0
PF01281,PF05190,0,0
PF01281,PF05192,0,0
PF01281,PF03938,0,0
PF01281,PF01281,0,1
PF01281,PF02518,0,0
PF01281,PF02824,0,0
PF01281,PF01926,0,0
PF01281,PF02367,0,0
PF01281,PF03486,0,0
PF01281,PF03953,0,0
PF01281,PF07724,0,0
PF01281,PF02016,0,0
PF01284,PF10613,0,0
PF01285,PF07545,0,0
PF01286,PF05181,1,1
PF01287,PF01916,0,0
PF01287,PF01287,1,1
PF01288,PF01288,1,1
PF01288,PF02152,0,1
PF09291,PF09291,0,1
PF09296,PF09297,1,0
PF09295,PF09295,0,0
PF01110,PF01110,1,1
PF01110,PF03016,0,0
PF01111,PF01111,1,1
PF01111,PF03143,0,0
PF01112,PF01112,1,1
PF01113,PF01113,1,0
PF01113,PF03746,0,0
PF01113,PF05173,1,1
PF01113,PF06415,0,0
PF01114,PF02740,1,1
PF01114,PF01477,1,0
PF01115,PF01115,1,1
PF01115,PF01267,1,1
PF01116,PF05000,0,0
PF01116,PF01116,1,1
PF01116,PF01416,0,0
PF01116,PF01193,0,0
PF01116,PF02150,0,0
PF01116,PF03876,0,0
PF01116,PF04055,0,0
PF01116,PF03144,0,0
PF01116,PF04567,0,0
PF01116,PF03143,0,0
PF01117,PF03440,1,1
PF01117,PF01117,1,1
PF01118,PF02774,1,1
PF01118,PF03810,0,0
PF01118,PF04402,0,0
PF01118,PF01118,0,1
PF01118,PF01193,0,0
PF01118,PF03061,0,0
PF01118,PF01230,0,0
PF01118,PF08534,0,0
PF01118,PF09290,1,1
PF01118,PF05685,0,0
PF01118,PF02664,0,0
PF01118,PF03454,0,0
PF01119,PF02209,0,0
PF01119,PF02518,1,1
PF01119,PF01835,0,0
PF01119,PF08676,0,0
PF01119,PF09379,0,0
PF01119,PF03143,0,0
PF07676,PF07676,1,1
PF09467,PF09467,0,1
PF02706,PF02706,0,1
PF02700,PF08245,0,0
PF02700,PF02769,0,1
PF02700,PF02843,0,0
PF02700,PF02875,0,0
PF02700,PF02700,1,1
PF02701,PF07646,0,0
PF02701,PF02701,0,0
PF02702,PF02702,0,1
PF02702,PF03814,0,0
PF04126,PF04126,1,1
PF09347,PF09347,0,1
PF02709,PF02709,1,1
PF09126,PF09126,1,1
PF09123,PF09123,1,1
PF00444,PF02722,0,0
PF08435,PF08435,1,1
PF08436,PF08436,1,1
PF04061,PF10559,0,0
PF04061,PF04061,0,0
PF04061,PF04116,0,0
PF09129,PF09129,1,1
PF08347,PF08504,0,0
PF01737,PF05969,0,1
PF01737,PF02533,1,1
PF01724,PF02518,0,0
PF05947,PF06996,0,0
PF07497,PF07498,0,1
PF00885,PF00885,1,1
PF00885,PF01545,0,0
PF00885,PF03144,0,0
PF00885,PF01210,0,0
PF00732,PF00732,1,1
PF00732,PF05199,1,1
PF00887,PF00887,1,1
PF00730,PF00730,1,1
PF00730,PF07934,1,1
PF00730,PF10576,0,1
PF00730,PF07650,0,0
PF00730,PF01196,0,0
PF00730,PF06029,1,1
PF00730,PF03144,0,0
PF00881,PF00881,1,1
PF00736,PF00736,0,1
PF00736,PF02798,0,0
PF00736,PF07654,0,0
PF00736,PF01253,0,0
PF00736,PF01920,0,0
PF00736,PF03144,1,1
PF00736,PF03143,1,0
PF00736,PF10506,0,0
PF00883,PF00890,0,0
PF00883,PF02789,1,1
PF00883,PF00883,1,1
PF00883,PF08541,0,0
PF00883,PF01488,0,0
PF00883,PF04542,0,0
PF00883,PF05201,0,0
PF00883,PF02729,0,0
PF00883,PF04545,0,0
PF00882,PF00882,1,1
PF00889,PF00889,1,1
PF00889,PF03143,1,1
PF00889,PF03144,0,0
PF00888,PF03931,1,1
PF00888,PF08623,1,1
PF00888,PF01466,1,1
PF00888,PF03178,0,1
PF00888,PF10374,0,0
PF00888,PF03556,0,0
PF00888,PF02985,1,1
PF00888,PF02214,0,0
PF00888,PF05839,0,0
PF00888,PF01399,0,0
PF00888,PF02775,0,0
PF00888,PF00917,0,0
PF00888,PF00888,1,1
PF08501,PF08501,1,1
PF08502,PF08502,1,1
PF05544,PF05544,1,1
PF05543,PF09023,1,1
PF05543,PF05543,1,1
PF01609,PF02281,1,1
PF01609,PF01609,0,0
PF04898,PF08323,0,0
PF00434,PF00434,0,1
PF00434,PF07686,0,1
PF04231,PF04231,1,1
PF01601,PF01601,1,1
PF04234,PF05425,0,0
PF04234,PF04234,1,1
PF01603,PF08632,0,0
PF01603,PF07776,0,0
PF01603,PF02985,0,1
PF01603,PF10545,0,0
PF01603,PF01603,0,0
PF01603,PF02800,0,0
PF01603,PF07558,0,0
PF01424,PF08517,0,0
PF01424,PF04857,1,1
PF01425,PF01425,1,1
PF01425,PF02893,0,0
PF01425,PF02637,0,1
PF01425,PF02686,0,1
PF01425,PF02934,0,1
PF01425,PF04548,0,0
PF01426,PF01426,1,1
PF01426,PF01500,0,0
PF01426,PF02786,0,0
PF01426,PF04084,0,0
PF01427,PF01427,1,1
PF01421,PF01421,1,1
PF01421,PF02301,0,0
PF01421,PF08516,0,1
PF04652,PF10545,0,0
PF04652,PF09336,0,0
PF04652,PF04652,0,1
PF04652,PF05485,0,0
PF01423,PF06058,0,0
PF01423,PF02301,0,0
PF01423,PF03159,0,0
PF01423,PF03399,0,0
PF01423,PF03694,0,0
PF01423,PF06220,0,0
PF01423,PF10197,0,0
PF01423,PF03947,0,0
PF01423,PF01805,0,0
PF01423,PF01602,0,0
PF01423,PF01423,1,1
PF01423,PF04065,0,0
PF01423,PF01979,0,0
PF01423,PF08240,0,0
PF01423,PF09532,0,0
PF01423,PF02214,0,0
PF01423,PF06003,0,0
PF01423,PF02213,0,0
PF01423,PF08082,0,0
PF01423,PF01624,0,0
PF01423,PF03343,0,0
PF01423,PF02752,0,0
PF01423,PF06372,0,0
PF01423,PF02854,0,0
PF01423,PF09785,0,0
PF01423,PF10150,0,0
PF01423,PF02184,0,0
PF01423,PF01918,0,0
PF01423,PF01652,0,0
PF01423,PF10584,0,0
PF01423,PF02518,0,0
PF01423,PF02926,0,0
PF01423,PF03194,0,0
PF01423,PF05185,0,0
PF01423,PF02984,0,0
PF01423,PF07650,0,0
PF01423,PF08572,0,0
PF01423,PF02270,0,0
PF01423,PF01926,0,0
PF01423,PF08066,0,0
PF01423,PF04851,0,0
PF01423,PF09416,0,0
PF01423,PF02770,0,0
PF01423,PF01480,0,0
PF01423,PF03517,0,0
PF01423,PF04046,0,0
PF01423,PF02178,0,0
PF01423,PF03870,0,0
PF01423,PF03178,0,0
PF01423,PF08606,0,0
PF01423,PF04054,0,0
PF01423,PF06424,0,0
PF01423,PF03371,0,0
PF01423,PF02966,0,0
PF01423,PF02889,0,0
PF01423,PF04938,0,0
