Entry,Cross-reference (Pfam),Cross-reference (InterPro)
P31119,PF01553;PF00501;,IPR023775;IPR020845;IPR000873;IPR002123;
P0A8P1,PF03588;,IPR016181;IPR004616;
P46133,PF03806;,IPR004697;IPR011540;
P0ABD5,PF03255;,IPR001095;IPR029045;IPR011763;
P0ABD8,PF00364;,IPR001249;IPR001882;IPR000089;IPR011053;
P24182,PF02785;PF00289;PF02786;,IPR004549;IPR011761;IPR013815;IPR005481;IPR011764;IPR005482;IPR005479;IPR016185;IPR011054;
P0A9Q5,PF01039;,IPR034733;IPR000438;IPR029045;IPR011762;
P0AFG8,PF00456;,IPR035807;IPR004660;IPR029061;IPR009014;IPR005474;
P06959,PF00198;PF00364;PF02817;,IPR003016;IPR001078;IPR006256;IPR000089;IPR023213;IPR036625;IPR004167;IPR011053;
P11071,PF06315;,IPR010452;
P25516,PF00330;PF00694;,IPR015931;IPR001030;IPR015928;IPR006249;IPR018136;IPR036008;IPR000573;
P0A6A8,PF00550;,IPR036736;IPR003231;IPR009081;IPR006162;
P0AE06,PF00529;PF16576;,IPR032317;IPR006143;
P31224,PF00873;,IPR027463;IPR001036;IPR004764;
P24177,PF00873;,IPR027463;IPR001036;IPR004764;
P24181,PF00873;,IPR027463;IPR001036;IPR004764;
P0ACS9,PF08361;PF00440;,IPR023772;IPR009057;IPR001647;IPR036271;IPR039419;IPR013572;
P32705,PF00474;,IPR014083;IPR038377;IPR001734;IPR018212;
P22333,PF00962;,IPR006650;IPR001365;IPR028893;IPR006330;IPR032466;
P0A9Q7,PF00171;PF00465;,IPR034789;IPR001670;IPR018211;IPR039697;IPR016161;IPR016163;IPR016162;IPR015590;IPR012079;
P28629,PF01276;PF03711;PF03709;,IPR005308;IPR011193;IPR000310;IPR008286;IPR036633;IPR015424;IPR015422;IPR015421;
P33234,PF12833;,IPR009057;IPR018060;IPR018062;IPR020449;
P37127,PF13247;PF14691;PF07992;,IPR017896;IPR017900;IPR028261;IPR036188;IPR023753;IPR006006;IPR009051;
P23872,PF07859;,IPR029058;IPR013094;IPR023508;IPR002168;IPR033140;
P37009,PF00005;PF08402;,IPR003593;IPR003439;IPR017871;IPR015853;IPR008995;IPR027417;IPR013611;
P0AE08,PF10417;PF00578;,IPR017559;IPR000866;IPR024706;IPR019479;IPR036249;IPR013766;
P35340,PF07992;PF13192;,IPR012081;IPR036188;IPR023753;IPR002109;IPR008255;IPR000103;IPR012336;IPR036249;
P33224,PF00441;PF02770;,IPR006089;IPR006091;IPR036250;IPR009075;IPR009100;IPR034184;
P00957,PF02272;PF01411;PF07973;,IPR002318;IPR018162;IPR018165;IPR018164;IPR023033;IPR003156;IPR018163;IPR009000;IPR012947;
P25553,PF00171;,IPR016161;IPR016163;IPR016160;IPR029510;IPR016162;IPR015590;
P37685,PF00171;,IPR016161;IPR016163;IPR016160;IPR029510;IPR016162;IPR015590;
P04395,PF06029;PF00730;,IPR010316;IPR037046;IPR000035;IPR011257;IPR003265;IPR023170;
P77425,PF01546;,IPR017591;IPR010158;IPR036264;IPR002933;
P0ACN4,PF09339;PF01614;,IPR029016;IPR014757;IPR005471;IPR036388;IPR036390;
P0A6B4,PF00842;PF01168;,IPR000821;IPR009006;IPR011079;IPR001608;IPR020622;IPR029066;
P32721,PF00005;,IPR003593;IPR003439;IPR017871;IPR027417;
P32718,PF00480;,IPR030883;IPR000600;
P00811,PF00144;,IPR001466;IPR012338;IPR001586;
P0AD70,PF00144;,IPR001466;IPR012338;
P69681,PF00909;,IPR029020;IPR001905;IPR018047;IPR024041;
P00805,PF00710;,IPR004550;IPR036152;IPR006034;IPR020827;IPR027475;IPR027473;IPR027474;IPR037152;
P05052,PF12833;,IPR009057;IPR018060;IPR018062;IPR020449;
P0A9E0,PF02311;PF12833;,IPR003313;IPR009057;IPR037923;IPR018060;IPR018062;IPR020449;
P0AAF3,PF00005;,IPR003593;IPR003439;IPR017871;IPR017917;IPR027417;
